year,subject,subject_code,archive,pdf_entry,pages,max_marks,set_series,language,exam_type,status,exclusion_reason,sha256
2022,Mathematics Standard,041,041_Mathematics_Standard_2022-extracted,2022/041_Mathematics_Standard_2022-extracted/Math_S/30-1-1 Maths Standard.pdf,11,40,30/1/1,English/Hindi,MAIN,ACCEPTED,,89d66e36a652f25b30e557143877b2196d2d46409fa421a1bff61d64d5747fc0
2022,Mathematics Standard,041,041_Mathematics_Standard_2022-extracted,2022/041_Mathematics_Standard_2022-extracted/Math_S/30-1-2 Maths Standard.pdf,11,40,30/1/2,English/Hindi,MAIN,ACCEPTED,,a442528420374d78fe122aa41353430b89e4609100635d06cbb8bdaa899b6b78
2022,Mathematics Standard,041,041_Mathematics_Standard_2022-extracted,2022/041_Mathematics_Standard_2022-extracted/Math_S/30-1-3 Maths Standard.pdf,11,40,30/1/3,English/Hindi,MAIN,ACCEPTED,,316eccbbac96597e5c0d5bc73585bd8ba874036ef48ae217d6dcbbb49464a6ea
2022,Mathematics Standard,041,041_Mathematics_Standard_2022-extracted,2022/041_Mathematics_Standard_2022-extracted/Math_S/30-2-1 Maths Standard.pdf,16,,30/2/1,English/Hindi,MAIN,ACCEPTED,,96e9f923abcaa9aeb37b9ea7fc3feaae816ce82da9bd0feb20a5318f3107cff4
2022,Mathematics Standard,041,041_Mathematics_Standard_2022-extracted,2022/041_Mathematics_Standard_2022-extracted/Math_S/30-2-2 Maths Standard.pdf,16,,30/2/2,English/Hindi,MAIN,ACCEPTED,,3d1ddbef93084a46c69187b23769016abe69c04efaa815eb2dbe19d1ef5ab92c
2022,Mathematics Standard,041,041_Mathematics_Standard_2022-extracted,2022/041_Mathematics_Standard_2022-extracted/Math_S/30-2-3 Maths Standard.pdf,16,,30/2/3,English/Hindi,MAIN,ACCEPTED,,d4c3aa1a472bb3a09d38122d79dbf8bf9f27a8f3706e11e97dce7c2601af7478
2022,Mathematics Standard,041,041_Mathematics_Standard_2022-extracted,2022/041_Mathematics_Standard_2022-extracted/Math_S/30-3-1 Maths Standard.pdf,11,40,30/3/1,English/Hindi,MAIN,ACCEPTED,,66186aff89ca8e73267bc0103a517bf2d69b2f5559c9560105aa6171d9dcb0b6
2022,Mathematics Standard,041,041_Mathematics_Standard_2022-extracted,2022/041_Mathematics_Standard_2022-extracted/Math_S/30-3-2 Maths Standard.pdf,11,40,30/3/2,English/Hindi,MAIN,ACCEPTED,,38eddf30854a361573838b45b0e5ba0a6b343ab69525180ddc7019fb96552798
2022,Mathematics Standard,041,041_Mathematics_Standard_2022-extracted,2022/041_Mathematics_Standard_2022-extracted/Math_S/30-3-3 Maths Standard.pdf,11,40,30/3/3,English/Hindi,MAIN,ACCEPTED,,5fbeccd30531bd3ff66c451a6656999077e3612590a3ba18a23c84db474fc5df
2022,Mathematics Standard,041,041_Mathematics_Standard_2022-extracted,2022/041_Mathematics_Standard_2022-extracted/Math_S/30-4-1 Maths Standard.pdf,12,,30/4/1,English/Hindi,MAIN,ACCEPTED,,cc168213fed7e11fa5937f6ef44a32d947762ab02b23f2fdb4ecd2d863f330c7
2022,Mathematics Standard,041,041_Mathematics_Standard_2022-extracted,2022/041_Mathematics_Standard_2022-extracted/Math_S/30-4-2 Maths Standard.pdf,12,,30/4/2,English/Hindi,MAIN,ACCEPTED,,2504f6ad4884d8337c14025e79029c07dc1a8eadb0742660d453aa19b8b40caf
2022,Mathematics Standard,041,041_Mathematics_Standard_2022-extracted,2022/041_Mathematics_Standard_2022-extracted/Math_S/30-4-3 Maths Standard.pdf,12,,30/4/3,English/Hindi,MAIN,ACCEPTED,,9ff876e751ea9b2c408409be20d821d4b79330633c91dc0459651a52d608eab5
2022,Mathematics Standard,041,041_Mathematics_Standard_2022-extracted,2022/041_Mathematics_Standard_2022-extracted/Math_S/30-B-5 Maths Std. for VI candidates.pdf,11,40,30/B/5,English/Hindi,MAIN,ACCEPTED,,7bbd6ce49bbf115015580cf122c984d5810ad90cd84fb9a29214a920ca8d3f97
2022,Mathematics Standard,041,041_Mathematics_Standard_2022-extracted,2022/041_Mathematics_Standard_2022-extracted/Math_S/40-3-1 Maths Std Punjabi version.pdf,7,40,40/3/1,Punjabi,MAIN,ACCEPTED,,beeca584bd7b5dd8f364b9ef1206414f0a7299f2b4d8ebe39adadff9743ba97e
2022,Mathematics Standard,041,041_Mathematics_Standard_2022-extracted,2022/041_Mathematics_Standard_2022-extracted/Math_S/40-B-5 Maths Standard Punjabi version.pdf,7,40,40/B/5,Punjabi,MAIN,ACCEPTED,,27efe1056dd365eb92e5644ba170e8a90e74d40c17bf8ffa58478f32bb692dcf
2022,Mathematics Standard,041,041_Mathematics_Standard_2022-extracted,2022/041_Mathematics_Standard_2022-extracted/Math_S/46-2-1 Mathematics Std. Urdu version.pdf,8,,46/2/1,English/Hindi,MAIN,ACCEPTED,,cda371fc6b7d6241dcb5d8ec5c76e24fb1bafd5e7dbf7c32c9aed873ef1f2575
2022,Mathematics Standard,041,041_Mathematics_Standard_2022-extracted,2022/041_Mathematics_Standard_2022-extracted/Math_S/46-2-2 Mathematics Std. Urdu version.pdf,8,,46/2/2,English/Hindi,MAIN,ACCEPTED,,b4c440eac5dffe339d9f78038904644a8610f525c1b2c26fd9a9d16baebada96
2022,Mathematics Standard,041,041_Mathematics_Standard_2022-extracted,2022/041_Mathematics_Standard_2022-extracted/Math_S/46-2-3 Mathematics Std. Urdu version.pdf,8,,46/2/3,English/Hindi,MAIN,ACCEPTED,,c3485848b9e6d6f255b651641e337ed62bd162edc0b3699421900da628d6855f
2022,Science,086,086_Science_2022-extracted,2022/086_Science_2022-extracted/Scince/31-1-1 Science.pdf,16,40,31/1/1,English/Hindi,MAIN,ACCEPTED,,fe667c319e9e09588fe990da82aba84c3e984706492187fc8931b4a7ff27afdb
2022,Science,086,086_Science_2022-extracted,2022/086_Science_2022-extracted/Scince/31-1-2 Science.pdf,16,40,31/1/2,English/Hindi,MAIN,ACCEPTED,,fe33787ec257a12dfb9c5370318fadf182fd0d6ea60e6d440d256970d68cc548
2022,Science,086,086_Science_2022-extracted,2022/086_Science_2022-extracted/Scince/31-1-3 Science.pdf,16,40,31/1/3,English/Hindi,MAIN,ACCEPTED,,ec61b8db56c6c11a49d9cce963bbe4e6d7e7b2053c9f35f9f5fc75bdc8b33d7b
2022,Science,086,086_Science_2022-extracted,2022/086_Science_2022-extracted/Scince/31-2-1 Science.pdf,12,,31/2/1,English/Hindi,MAIN,ACCEPTED,,9016a5e3de8cbf521fee78cad5a1f948f4cbea05cdf6856f3298d06ba789a937
2022,Science,086,086_Science_2022-extracted,2022/086_Science_2022-extracted/Scince/31-2-2 Science.pdf,12,,31/2/2,English/Hindi,MAIN,ACCEPTED,,6e658c3c1f5e63500650bc7c1854ab2c782f286cf11ed079e62752b6cfc02676
2022,Science,086,086_Science_2022-extracted,2022/086_Science_2022-extracted/Scince/31-2-3 Science.pdf,12,,31/2/3,English/Hindi,MAIN,ACCEPTED,,ad158a8e56a274668805fbb22fec33ba8f6432f8a1f746c344a13f4102b0496c
2022,Science,086,086_Science_2022-extracted,2022/086_Science_2022-extracted/Scince/31-3-1 Science.pdf,15,40,31/3/1,English/Hindi,MAIN,ACCEPTED,,0a6dbd82c173fd17784b91787c599003613a640b27585cc1888cd855547c7fe7
2022,Science,086,086_Science_2022-extracted,2022/086_Science_2022-extracted/Scince/31-3-2 Science.pdf,15,40,31/3/2,English/Hindi,MAIN,ACCEPTED,,202979c5c97d248a6d85b050110dd9e80f4702bbe00ce06874fb93223c4d6b8b
2022,Science,086,086_Science_2022-extracted,2022/086_Science_2022-extracted/Scince/31-3-3 Science.pdf,15,40,31/3/3,English/Hindi,MAIN,ACCEPTED,,6305c5f3205131c2c7e2f8e8ec52f95cca68adb5c1f975c99afff04d820a9b50
2022,Science,086,086_Science_2022-extracted,2022/086_Science_2022-extracted/Scince/31-4-1 Science.pdf,16,,31/4/1,English/Hindi,MAIN,ACCEPTED,,48ccac0d15640aa03eebc865d4b7ddc5c077c3d3bb08e8edc17d223adeceb438
2022,Science,086,086_Science_2022-extracted,2022/086_Science_2022-extracted/Scince/31-4-2 Science.pdf,16,,31/4/2,English/Hindi,MAIN,ACCEPTED,,2582376187e2261450e68541a9066ffaa178d7aee71125481e5d5c4a15140ae1
2022,Science,086,086_Science_2022-extracted,2022/086_Science_2022-extracted/Scince/31-4-3 Science.pdf,16,,31/4/3,English/Hindi,MAIN,ACCEPTED,,c82c13d6f2b713ff3874e7147cca03f1990d2b8b500c926253f2e99a6b53cc45
2022,Science,086,086_Science_2022-extracted,2022/086_Science_2022-extracted/Scince/31-B-5 Science for VI candidates.pdf,11,40,31/B/5,English/Hindi,MAIN,ACCEPTED,,d9cce4df33266eda690a298092ac74318207b3fb7869c1e25ea6016a5cd55992
2022,Science,086,086_Science_2022-extracted,2022/086_Science_2022-extracted/Scince/41-3-1 Science Punjabi version.pdf,8,40,41/3/1,Punjabi,MAIN,ACCEPTED,,c8476a8252d652fdbdd6bcaa9e07453422b0b9afff32aa1aff1eb6c200055302
2022,Science,086,086_Science_2022-extracted,2022/086_Science_2022-extracted/Scince/41-3-2 Science Punjabi version.pdf,8,40,41/3/2,Punjabi,MAIN,ACCEPTED,,58b6eb12e5817fa75ce14fa0899252e13785909570566c4afed1ce3b7603c3ea
2022,Science,086,086_Science_2022-extracted,2022/086_Science_2022-extracted/Scince/41-3-3 Science Punjabi version.pdf,8,40,41/3/3,Punjabi,MAIN,ACCEPTED,,5221b2af8b1d37437dfa8881f4237730af4d2182bb9e92cd2a3fa12d79f500c5
2022,Science,086,086_Science_2022-extracted,2022/086_Science_2022-extracted/Scince/41-B-5 Science for VI candidates punjabi version.pdf,8,40,41/B/5,Punjabi,MAIN,ACCEPTED,,24ebd7ac22d1a91013b1b4435978b0484e83d15d73aa0309eda781970a9b2ab9
2022,Science,086,086_Science_2022-extracted,2022/086_Science_2022-extracted/Scince/47-2-2 Science Urdu version.pdf,8,,47/2/2,English/Hindi,MAIN,ACCEPTED,,af48648b4aad054180f18210f0ae3f5c127784b8ca496483bdfaa39b24ee067a
2022,Science,086,086_Science_2022-extracted,2022/086_Science_2022-extracted/Scince/47-2-2 Science Urdu version.pdf 1.pdf,8,,47/2/2,English/Hindi,MAIN,ACCEPTED,,ca1e7bfca1b7d882aff40c0855873a76c29297b63dcf1ed523d34bb86a97f498
2022,Science,086,086_Science_2022-extracted,2022/086_Science_2022-extracted/Scince/47-2-3 Science Urdu version.pdf,8,,47/2/3,English/Hindi,MAIN,ACCEPTED,,d11ef6f813ce2b055d2a42747ff8c7edb9cc488e0e71735561ec4b2e9dd20d8d
2023,Mathematics Standard,041,041_Mathematics_Standard_2023-extracted,2023/041_Mathematics_Standard_2023-extracted/MATHEMATICS_STANDARD/30_1_1_Maths Standard.pdf,24,,,English/Hindi,MAIN,ACCEPTED,,de9fc6916f6dc30c5f1aab3d03ab73e7b9ed1976ccea7fbc3a595d5bed39d753
2023,Mathematics Standard,041,041_Mathematics_Standard_2023-extracted,2023/041_Mathematics_Standard_2023-extracted/MATHEMATICS_STANDARD/30_1_2_Maths Standard.pdf,24,,,English/Hindi,MAIN,ACCEPTED,,1f25c7cc462af8c020febcd2ec1168c6cfa1f2e213784f03f5f619e29131ce30
2023,Mathematics Standard,041,041_Mathematics_Standard_2023-extracted,2023/041_Mathematics_Standard_2023-extracted/MATHEMATICS_STANDARD/30_1_3_Maths Standard.pdf,24,,,English/Hindi,MAIN,ACCEPTED,,593704cb4dfb78e6084b631670d4836c01c14a76d94744fd37e8665754dd381e
2023,Mathematics Standard,041,041_Mathematics_Standard_2023-extracted,2023/041_Mathematics_Standard_2023-extracted/MATHEMATICS_STANDARD/30_2_1_Maths Standard.pdf,23,80,30/2/1,English/Hindi,MAIN,ACCEPTED,,56dad175fc6299c6b9eb0105ead2a540592f8ce45fb158d671376b7dc7e3f4cf
2023,Mathematics Standard,041,041_Mathematics_Standard_2023-extracted,2023/041_Mathematics_Standard_2023-extracted/MATHEMATICS_STANDARD/30_2_2_Maths Standard.pdf,23,80,30/2/2,English/Hindi,MAIN,ACCEPTED,,e92f9053fb3ac23c3b8a552823cb44c36725a1224066a92a0fe523e848b51067
2023,Mathematics Standard,041,041_Mathematics_Standard_2023-extracted,2023/041_Mathematics_Standard_2023-extracted/MATHEMATICS_STANDARD/30_2_3_Maths Standard.pdf,23,80,30/2/3,English/Hindi,MAIN,ACCEPTED,,a1d71ce47a60abbbeebbef70d9486275ec84f47803384c1ce2c3d8008c2fc245
2023,Mathematics Standard,041,041_Mathematics_Standard_2023-extracted,2023/041_Mathematics_Standard_2023-extracted/MATHEMATICS_STANDARD/30_4_1 Maths Standard.pdf,16,80,30/4/1,English/Hindi,MAIN,ACCEPTED,,a09aed34af2a1659c62b189fb428bcea1ad444a2dc96ef58660ce6ed5386337d
2023,Mathematics Standard,041,041_Mathematics_Standard_2023-extracted,2023/041_Mathematics_Standard_2023-extracted/MATHEMATICS_STANDARD/30_4_2 Maths Standard.pdf,16,80,30/4/2,English/Hindi,MAIN,ACCEPTED,,589013858161cd5b85f451f3321b727cd1fd9187c4d36c8529c5bd88f85fd771
2023,Mathematics Standard,041,041_Mathematics_Standard_2023-extracted,2023/041_Mathematics_Standard_2023-extracted/MATHEMATICS_STANDARD/30_4_3 Maths Standard.pdf,16,80,30/4/3,English/Hindi,MAIN,ACCEPTED,,f00ba4c1827812b94dcc6e6b4b87f94515fa32fab5af48e2f5046c3339d1d937
2023,Mathematics Standard,041,041_Mathematics_Standard_2023-extracted,2023/041_Mathematics_Standard_2023-extracted/MATHEMATICS_STANDARD/30_5_1_Maths Standard.pdf,27,80,30/5/1,English/Hindi,MAIN,ACCEPTED,,10da2ed3984c7f4beaf70b882bc5e1832b0ba452e1b37b31d4eb77dd48a8e77b
2023,Mathematics Standard,041,041_Mathematics_Standard_2023-extracted,2023/041_Mathematics_Standard_2023-extracted/MATHEMATICS_STANDARD/30_5_2_Maths Standard.pdf,27,80,30/5/2,English/Hindi,MAIN,ACCEPTED,,ff168e6397cf788de77261e80d85a58d60182071b48ef4fe6043a8a4af2ce3b2
2023,Mathematics Standard,041,041_Mathematics_Standard_2023-extracted,2023/041_Mathematics_Standard_2023-extracted/MATHEMATICS_STANDARD/30_5_3_Maths Standard.pdf,27,80,30/5/3,English/Hindi,MAIN,ACCEPTED,,3c923c94b333e586cdc36c98ef835d69bfa21dea1076be3bd8f9a5090f5c8412
2023,Mathematics Standard,041,041_Mathematics_Standard_2023-extracted,2023/041_Mathematics_Standard_2023-extracted/MATHEMATICS_STANDARD/30_6_1_Maths Standard.pdf,24,,,English/Hindi,MAIN,ACCEPTED,,d7930e81ad8b559ff90fcb5a7fa23c6c15273cc0dcceb1ca9dd17006b9fcfad0
2023,Mathematics Standard,041,041_Mathematics_Standard_2023-extracted,2023/041_Mathematics_Standard_2023-extracted/MATHEMATICS_STANDARD/30_6_2_Maths Standard.pdf,24,,,English/Hindi,MAIN,ACCEPTED,,42dc5ef1a626e3cef339f8ac0a926aad2031972f77b57841e64be2859e4fa167
2023,Mathematics Standard,041,041_Mathematics_Standard_2023-extracted,2023/041_Mathematics_Standard_2023-extracted/MATHEMATICS_STANDARD/30_6_3_Maths Standard.pdf,24,,,English/Hindi,MAIN,ACCEPTED,,e5c2316c3120deda561659aeade7a7fff75799b177011c8946c7a45de116a45e
2023,Mathematics Standard,041,041_Mathematics_Standard_2023-extracted,2023/041_Mathematics_Standard_2023-extracted/MATHEMATICS_STANDARD/30_B_5_Maths Std. for VI candidates.pdf,23,80,,English/Hindi,MAIN,ACCEPTED,,4b1957e48c628ecc702e2c9747bb156474fbf59fb72e641f8000c0ca0e667f53
