"year","subject","subject_code","final_url","http_status","content_type","bytes","signature","sha256","checksums_agree"
"2022","Mathematics Standard","041","https://www.cbse.gov.in/cbsenew/question-paper/2022/X/Math_S.zip","200","application/x-zip-compressed","17673557","ZIP","fcff786cf9c8a8dfe4db014ede7dc7de5d6a22768394be7dc69d21d6a3c9c544","true"
"2022","Science","086","https://www.cbse.gov.in/cbsenew/question-paper/2022/X/Scince.zip","200","application/x-zip-compressed","25225655","ZIP","9afec2f6804fe26c3288ea4a8eda061355a093bdbbcf2644210a0ae3da6d194f","true"
"2023","Mathematics Standard","041","https://www.cbse.gov.in/cbsenew/question-paper/2023/X/MATHEMATICS_STANDARD.zip","200","application/x-zip-compressed","43951676","ZIP","fd1162dd270564f21f9217be1f9e8abccb72b4b2661fd8e15704f2f961a9edd0","true"
"2023","Science","086","https://www.cbse.gov.in/cbsenew/question-paper/2023/X/SCIENCE.zip","200","application/x-zip-compressed","50410934","ZIP","e1b0053ea7c128fe4bc3af834951df8cbf9f1664288f0afb4c586e79476e4e55","true"
"2024","Mathematics Standard","041","https://www.cbse.gov.in/cbsenew/question-paper/2024/X/MATHEMATICS_STANDARD.zip","200","application/x-zip-compressed","35258998","ZIP","15df8df502a3fd6732e9c8a65b266cd6b0319b5cfae9436992fb57ff6f240a35","true"
"2024","Science","086","https://www.cbse.gov.in/cbsenew/question-paper/2024/X/SCIENCE.zip","200","application/x-zip-compressed","43196021","ZIP","9223cdcf7ae29d03d482cb1f3851d61aaee815012d900cb65e7c622936842861","true"
"2025","Mathematics Standard","041","https://www.cbse.gov.in/cbsenew/question-paper/2025/X/041_Mathematics_Standard.zip","200","application/x-zip-compressed","54529382","ZIP","438fc0ef5e02bbf513d0da090c7846e64bd631d595f48eb919e1ba3dcfd69ebf","true"
"2025","Science","086","https://www.cbse.gov.in/cbsenew/question-paper/2025/X/086_Science.zip","200","application/x-zip-compressed","43732463","ZIP","5e288459ad2558db9b6ee2fa652c123e1842047daaa0452133d6d365d2dc426d","true"
"2026","Mathematics Standard","041","https://www.cbse.gov.in/cbsenew/question-paper/2026/X/Mathematics_Standard.zip","200","application/x-zip-compressed","61861898","ZIP","3bb5243ff680b71837b5040d1670d42dcdd6ab1f5425cfc5589ee996fdf196ca","true"
"2026","Science","086","https://www.cbse.gov.in/cbsenew/question-paper/2026/X/Science.zip","200","application/x-zip-compressed","29564466","ZIP","be55f4196a20444a35948d9b3324ad097001438844afc521df42879bbbb258db","true"
