question_id,subject,unit,chapter,topic_atom,outcome_code,outcome,official_requirement_ids,official_source_reference,kind,difficulty,marks,pool,stimulus,prompt,options,correct_answer,explanation,scoring_rule,current_status,automated_blockers,automated_warnings,sme_decision,sme_correction,sme_comment,sme_name,sme_qualification,sme_signature_date
"C10-2627-MATH-REQ001-DIAG-001","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.1","Express composite numbers as products of prime factors and calculate HCF and LCM using prime factorization.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","mcq","2","1","DIAGNOSTIC","","Using prime factorisation, find the HCF of 96 and 404.","12 | 4 | 2 | 8","4","96 = 2^5 x 3 and 404 = 2^2 x 101. The only common prime power is 2^2, so the HCF is 4.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","none","","","","","",""
"C10-2627-MATH-REQ001-DIAG-002","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.1","Express composite numbers as products of prime factors and calculate HCF and LCM using prime factorization.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","short_answer","2","2","DIAGNOSTIC","","Using prime factorisation, find the LCM of 72 and 120.","","360","72 = 2^3 x 3^2 and 120 = 2^3 x 3 x 5. Taking the highest power of each prime gives 2^3 x 3^2 x 5 = 360.","Answer-key match with educator override. 2 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","none","","","","","",""
"C10-2627-MATH-REQ001-DIAG-003","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.1","Express composite numbers as products of prime factors and calculate HCF and LCM using prime factorization.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","short_answer","3","2","DIAGNOSTIC","","The HCF of 306 and 657 is 9. Find their LCM without factorising again.","","22338","For two positive integers, HCF x LCM = product of the numbers, so LCM = (306 x 657) / 9 = 22338.","Answer-key match with educator override. 2 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","NUMERIC_CHECK","","","","","",""
"C10-2627-MATH-REQ001-DIAG-004","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.1","Express composite numbers as products of prime factors and calculate HCF and LCM using prime factorization.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","case_study","3","3","DIAGNOSTIC","","A florist has 84 roses and 126 lilies. She wants to make identical bunches, each bunch holding only roses or only lilies, with every bunch containing the same number of flowers and no flower left over.  What is the greatest number of flowers she can put in one bunch?","","42","The bunch size must divide both 84 and 126, so it is their HCF. 84 = 2^2 x 3 x 7 and 126 = 2 x 3^2 x 7, giving HCF = 2 x 3 x 7 = 42.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","STIMULUS_EMBEDDED","","","","","",""
"C10-2627-MATH-REQ001-DIAG-005","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.1","Express composite numbers as products of prime factors and calculate HCF and LCM using prime factorization.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","assertion_reason","2","1","DIAGNOSTIC","","Assertion (A): For any two positive integers a and b, HCF(a, b) x LCM(a, b) = a x b. Reason (R): Every composite number has a unique prime factorisation apart from the order of the factors. Choose the correct option.","Both A and R are true and R is the correct explanation of A. | Both A and R are true but R is not the correct explanation of A. | A is true but R is false. | A is false but R is true.","Both A and R are true and R is the correct explanation of A.","Uniqueness of factorisation lets each prime be split between the HCF (lowest power) and the LCM (highest power), and the two powers add back to the power in the product.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","none","","","","","",""
"C10-2627-MATH-REQ001-DIAG-006","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.1","Express composite numbers as products of prime factors and calculate HCF and LCM using prime factorization.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","data_interpretation","3","3","DIAGNOSTIC","","Prime factorisations: | Number | Factorisation | | A | 2^3 x 3 x 5 | | B | 2^2 x 3^2 x 5 | | C | 2^2 x 3 x 5^2 |  Write the HCF and the LCM of A, B and C.","","HCF = 60, LCM = 1800","Lowest common powers give 2^2 x 3 x 5 = 60. Highest powers give 2^3 x 3^2 x 5^2 = 1800.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","NUMERIC_CHECK STIMULUS_EMBEDDED","","","","","",""
"C10-2627-MATH-REQ001-DIAG-007","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.1","Express composite numbers as products of prime factors and calculate HCF and LCM using prime factorization.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","short_answer","3","2","DIAGNOSTIC","","Two LED strips flash at intervals of 18 seconds and 24 seconds. They flash together at 7:00:00 pm. After how many seconds do they next flash together?","","72","They coincide after a time that is a multiple of both intervals, so the answer is LCM(18, 24) = 72 seconds.","Answer-key match with educator override. 2 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","none","","","","","",""
"C10-2627-MATH-REQ001-DIAG-008","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.2","Prove the irrationality of numbers such as square root of 2, square root of 3, and square root of 5.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","short_answer","4","3","DIAGNOSTIC","","Show that the square root of 3 is irrational.","","Assume root 3 = a/b in lowest terms; then 3b^2 = a^2, so 3 divides a, write a = 3c to get b^2 = 3c^2, so 3 divides b as well, contradicting lowest terms. Hence root 3 is irrational.","This is the standard contradiction argument: it uses the fact that if a prime p divides a^2 then p divides a, which follows from unique prime factorisation.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","none","","","","","",""
"C10-2627-MATH-REQ001-DIAG-009","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.2","Prove the irrationality of numbers such as square root of 2, square root of 3, and square root of 5.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","mcq","2","1","DIAGNOSTIC","","Which of the following numbers is irrational?","0.75 | root 49 | 22/7 | 5 + root 2","5 + root 2","root 49 = 7 and 22/7 and 0.75 are ratios of integers. A rational plus an irrational is irrational, so 5 + root 2 is irrational.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","none","","","","","",""
"C10-2627-MATH-REQ001-DIAG-010","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.2","Prove the irrationality of numbers such as square root of 2, square root of 3, and square root of 5.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","assertion_reason","3","1","DIAGNOSTIC","","Assertion (A): root 12 is an irrational number. Reason (R): The product of a non-zero rational number and an irrational number is irrational. Choose the correct option.","Both A and R are true and R is the correct explanation of A. | Both A and R are true but R is not the correct explanation of A. | A is true but R is false. | A is false but R is true.","Both A and R are true and R is the correct explanation of A.","root 12 = 2 x root 3, a non-zero rational times an irrational, which the reason shows must be irrational.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","none","","","","","",""
