question_id,subject,unit,chapter,topic_atom,outcome_code,outcome,official_requirement_ids,official_source_reference,kind,difficulty,marks,pool,stimulus,prompt,options,correct_answer,explanation,scoring_rule,current_status,automated_blockers,automated_warnings,sme_decision,sme_correction,sme_comment,sme_name,sme_qualification,sme_signature_date
"C10-2627-SCI-REQ022-REASS-001","Science","World of Living","Life Processes","What are Life Processes?","LO_5.1.1.1","Define life processes and explain why simple diffusion is inadequate for multicellular organisms.","REQ_SCI_2026_022","Science_SecP1_2026-27.pdf Page 6","short_answer","3","3","FRESH_REASSESSMENT","","Explain why simple diffusion alone cannot meet the oxygen requirement of a large multicellular animal, while it is sufficient for a single-celled organism such as an amoeba.","","Because in a large body most cells are far from the surface, so diffusion is far too slow and the surface area to volume ratio is too small; a specialised transport system is needed.","Diffusion is effective only over very short distances. An amoeba has a high surface area to volume ratio and every part of its body is in contact with the surrounding water, so gases reach all of its cytoplasm quickly. In a large animal the inner cells are many centimetres from the surface and the surface area per unit volume is small, so oxygen would arrive far too slowly to sustain respiration, making circulatory and respiratory systems necessary.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","none","","","","","",""
"C10-2627-SCI-REQ037-DIAG-001","Science","Natural Phenomena","Light – Reflection and Refraction","Reflection of Light","LO_9.1.1.1","Construct ray diagrams for concave/convex mirrors and apply the mirror formula.","REQ_SCI_2026_037 | REQ_SCI_2026_038","Science_SecP1_2026-27.pdf Page 7","short_answer","3","3","DIAGNOSTIC","","An object is placed 30 cm in front of a concave mirror of focal length 10 cm. Using the mirror formula and the standard sign convention, find the position of the image.","","15 cm in front of the mirror, that is v = -15 cm","With u = -30 cm and f = -10 cm, 1/v = 1/f - 1/u = -1/10 + 1/30 = -1/15, so v = -15 cm and the image forms 15 cm in front of the mirror.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","NUMERIC_CHECK","","","","","",""
"C10-2627-SCI-REQ037-DIAG-002","Science","Natural Phenomena","Light – Reflection and Refraction","Reflection of Light","LO_9.1.1.1","Construct ray diagrams for concave/convex mirrors and apply the mirror formula.","REQ_SCI_2026_037 | REQ_SCI_2026_038","Science_SecP1_2026-27.pdf Page 7","mcq","2","1","DIAGNOSTIC","","The image formed by a convex mirror of an object placed in front of it is always","virtual, inverted and of the same size | virtual, erect and diminished | real, inverted and magnified | real, erect and diminished","virtual, erect and diminished","A convex mirror diverges the reflected rays, so the image is always formed behind the mirror, erect and smaller than the object.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","none","","","","","",""
"C10-2627-SCI-REQ037-DIAG-003","Science","Natural Phenomena","Light – Reflection and Refraction","Refraction of Light","LO_9.2.1.1","Apply Snell's law, solve thin-lens equations, and calculate optical power in dioptres.","REQ_SCI_2026_037 | REQ_SCI_2026_038","Science_SecP1_2026-27.pdf Page 7","short_answer","3","3","DIAGNOSTIC","","An object is placed 30 cm from a convex lens of focal length 20 cm. Using the lens formula, find the position of the image.","","60 cm on the other side of the lens, that is v = +60 cm","With u = -30 cm and f = +20 cm, 1/v = 1/f + 1/u = 1/20 - 1/30 = 1/60, so v = +60 cm and a real image forms 60 cm beyond the lens.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","NUMERIC_CHECK","","","","","",""
"C10-2627-SCI-REQ037-DIAG-004","Science","Natural Phenomena","Light – Reflection and Refraction","Refraction of Light","LO_9.2.1.1","Apply Snell's law, solve thin-lens equations, and calculate optical power in dioptres.","REQ_SCI_2026_037 | REQ_SCI_2026_038","Science_SecP1_2026-27.pdf Page 7","short_answer","2","2","DIAGNOSTIC","","Find the power of a convex lens of focal length 25 cm, stating the unit.","","+4 dioptre","Power is the reciprocal of the focal length in metres, so P = 1/0.25 = +4 D, the positive sign indicating a converging lens.","Answer-key match with educator override. 2 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","NUMERIC_CHECK","","","","","",""
"C10-2627-SCI-REQ037-REASS-001","Science","Natural Phenomena","Light – Reflection and Refraction","Reflection of Light","LO_9.1.1.1","Construct ray diagrams for concave/convex mirrors and apply the mirror formula.","REQ_SCI_2026_037 | REQ_SCI_2026_038","Science_SecP1_2026-27.pdf Page 7","short_answer","3","3","FRESH_REASSESSMENT","","An object is placed 20 cm in front of a concave mirror of focal length 10 cm. Find the magnification of the image and state its nature.","","Magnification -1; the image is real, inverted and of the same size","With u = -20 cm and f = -10 cm, 1/v = -1/10 + 1/20 = -1/20, so v = -20 cm and m = -v/u = -(-20)/(-20) = -1. The negative value indicates a real inverted image of the same size, formed at the centre of curvature.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","NUMERIC_CHECK","","","","","",""
"C10-2627-SCI-REQ037-REASS-002","Science","Natural Phenomena","Light – Reflection and Refraction","Reflection of Light","LO_9.1.1.1","Construct ray diagrams for concave/convex mirrors and apply the mirror formula.","REQ_SCI_2026_037 | REQ_SCI_2026_038","Science_SecP1_2026-27.pdf Page 7","short_answer","3","3","FRESH_REASSESSMENT","","An object is placed 15 cm in front of a convex mirror of focal length 10 cm. Find the position of the image.","","6 cm behind the mirror, that is v = +6 cm","With u = -15 cm and f = +10 cm, 1/v = 1/10 + 1/15 = 1/6, so v = +6 cm and the virtual image lies 6 cm behind the mirror.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","NUMERIC_CHECK","","","","","",""
"C10-2627-SCI-REQ037-REASS-003","Science","Natural Phenomena","Light – Reflection and Refraction","Reflection of Light","LO_9.1.1.1","Construct ray diagrams for concave/convex mirrors and apply the mirror formula.","REQ_SCI_2026_037 | REQ_SCI_2026_038","Science_SecP1_2026-27.pdf Page 7","mcq","1","1","FRESH_REASSESSMENT","","The focal length of a spherical mirror of radius of curvature 24 cm is","48 cm | 6 cm | 12 cm | 24 cm","12 cm","For a spherical mirror the focal length is half the radius of curvature, so f = 24/2 = 12 cm.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","NUMERIC_CHECK","","","","","",""
"C10-2627-SCI-REQ037-REASS-004","Science","Natural Phenomena","Light – Reflection and Refraction","Reflection of Light","LO_9.1.1.1","Construct ray diagrams for concave/convex mirrors and apply the mirror formula.","REQ_SCI_2026_037 | REQ_SCI_2026_038","Science_SecP1_2026-27.pdf Page 7","case_study","3","3","FRESH_REASSESSMENT","","Vehicle manufacturers fit a convex mirror rather than a plane mirror as the rear-view mirror on the driver's side.  Give two reasons, in terms of image formation, for this choice.","","It always gives an erect virtual image, and it has a much wider field of view.","A convex mirror diverges reflected rays, so it always produces an erect, diminished virtual image and covers a far wider field of view than a plane mirror of the same size, letting the driver see more of the traffic behind.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","STIMULUS_EMBEDDED","","","","","",""
"C10-2627-SCI-REQ037-REASS-005","Science","Natural Phenomena","Light – Reflection and Refraction","Reflection of Light","LO_9.1.1.1","Construct ray diagrams for concave/convex mirrors and apply the mirror formula.","REQ_SCI_2026_037 | REQ_SCI_2026_038","Science_SecP1_2026-27.pdf Page 7","assertion_reason","3","1","FRESH_REASSESSMENT","","Assertion (A): A concave mirror can form a magnified erect image. Reason (R): When the object lies between the pole and the principal focus of a concave mirror, the reflected rays diverge. Choose the correct option.","Both A and R are true and R is the correct explanation of A. | Both A and R are true but R is not the correct explanation of A. | A is true but R is false. | A is false but R is true.","Both A and R are true and R is the correct explanation of A.","For an object inside the focus, the reflected rays diverge and appear to come from behind the mirror, giving an erect and magnified virtual image, which is why shaving and dentist's mirrors are concave.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","none","","","","","",""
