id,requirement,subject,authority,academic_year,title,final_url,http_status,mime_type,size_bytes,page_count,edition,retrieved_at,sha256,hash_stable,redistributable,verdict,failures
CBSE-2025-26-C10-CURRICULUM,curriculum,All,CBSE,2025-26,"CBSE Secondary School Curriculum (Classes IX-X), session 2025-26",https://cbseacademic.nic.in/web_material/CurriculumMain26/Sec/Curriculum_Sec_2025-26.pdf,200,application/pdf,2256805,41,,2026-09-02T13:46:14.894Z,232d23fd23074305512972511feefd28cebe366944701778e24a576c392e3830,true,true,VERIFIED,
CBSE-2025-26-C10-MAT-SYLLABUS,maths_syllabus,Mathematics,CBSE,2025-26,"CBSE Mathematics (041) syllabus, Secondary, session 2025-26",https://cbseacademic.nic.in/web_material/CurriculumMain26/Sec/Maths_Sec_2025-26.pdf,200,application/pdf,573399,19,,2026-09-02T13:46:16.415Z,2a2c03e9f66a24dd0980d5b07d2ea70bc00ca72fa95cf7c48d2eec224218921e,true,true,VERIFIED,
CBSE-2025-26-C10-SCI-SYLLABUS,science_syllabus,Science,CBSE,2025-26,"CBSE Science (086) syllabus, Secondary, session 2025-26",https://cbseacademic.nic.in/web_material/CurriculumMain26/Sec/Science_Sec_2025-26.pdf,200,application/pdf,314752,13,,2026-09-02T13:46:16.673Z,472f528a8fe172967adaccca9272b09060497399618b076b42c44feea8395dea,true,true,VERIFIED,
CBSE-2025-26-C10-MAT-SQP,maths_sample_paper,Mathematics,CBSE,2025-26,"CBSE Class X Mathematics Standard sample question paper, 2025-26",https://cbseacademic.nic.in/web_material/SQP/ClassX_2025_26/MathsStandard-SQP.pdf,200,application/pdf,511677,8,,2026-09-02T13:46:16.935Z,40ce8f3b05a95458230d0c0813a7f9c5c45a796fcbff4c5613709409bc61fc53,true,true,VERIFIED,
CBSE-2025-26-C10-MAT-MS,maths_marking_scheme,Mathematics,CBSE,2025-26,"CBSE Class X Mathematics Standard marking scheme, 2025-26",https://cbseacademic.nic.in/web_material/SQP/ClassX_2025_26/MathsStandard-MS.pdf,200,application/pdf,867110,12,,2026-09-02T13:46:17.197Z,3be6329ab1aacb139e6e60bc70f65466e73ffeec75ec9a4dde707e35217059ce,true,true,VERIFIED,
CBSE-2025-26-C10-SCI-SQP,science_sample_paper,Science,CBSE,2025-26,"CBSE Class X Science sample question paper, 2025-26",https://cbseacademic.nic.in/web_material/SQP/ClassX_2025_26/Science-SQP.pdf,200,application/pdf,960352,15,,2026-09-02T13:46:17.499Z,ec9f01d34a0fcf3ae0354bb811bda1ca6b8c345db80699959aa46b1c16d5b445,true,true,VERIFIED,
CBSE-2025-26-C10-SCI-MS,science_marking_scheme,Science,CBSE,2025-26,"CBSE Class X Science marking scheme, 2025-26",https://cbseacademic.nic.in/web_material/SQP/ClassX_2025_26/Science-MS.pdf,200,application/pdf,823797,15,,2026-09-02T13:46:17.834Z,4e08939a24cff72c336adc2fa444c06924308e945b36873d31f05c7ef23b84d1,true,true,VERIFIED,
NCERT-C10-MAT-TEXTBOOK,ncert_maths_textbook,Mathematics,NCERT,2025-26,"NCERT Mathematics, Class X (jemh1) — prelims/imprint volume used for edition pinning",https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,200,application/pdf,1969484,14,Reprint 2026-27,2026-09-02T13:46:18.598Z,62867d1b27b42e110948ee1301446a15e89ed386e04bb5b29dc6e301fa679f94,true,false,VERIFIED,
NCERT-C10-SCI-TEXTBOOK,ncert_science_textbook,Science,NCERT,2025-26,"NCERT Science, Class X (jesc1) — prelims/imprint volume used for edition pinning",https://ncert.nic.in/textbook/pdf/jesc1ps.pdf,200,application/pdf,3429027,12,Reprint 2026-27,2026-09-02T13:46:22.060Z,cf2a2afb28bd01b4518dbd7e9517b8a9b4a85c989bf3a047cd96d1a8408fdcb0,true,false,VERIFIED,
NCERT-C10-RATIONALISED-BOOKLET,ncert_rationalised_booklet,All,NCERT,2025-26,"NCERT rationalised content booklet, Class X",https://ncert.nic.in/pdf/BookletClass10.pdf,200,application/pdf,4576078,32,,2026-09-02T13:46:26.671Z,d241ca9dfafde0d0c7d0908dee683d7bf7fcd3d17f5691dee1eb08c0f6f17e92,true,false,VERIFIED,
CBSE-2026-27-C10-MAT-SYLLABUS-UNCONFIRMED,maths_syllabus,Mathematics,CBSE,2026-27,"CBSE Class X Mathematics syllabus, session 2026-27 (publication unconfirmed)",https://cbseacademic.nic.in/web_material/CurriculumMain27/SecPart1/Maths_SecP1X_2026-27.pdf,200,application/pdf,270782,10,,2026-09-02T13:46:31.435Z,d773e7c12b99e0bd498067e2b8268c76d0496bf9cad1c9e41c8652ab68b412a5,true,true,UNCONFIRMED_PUBLICATION,
CBSE-2026-27-C10-SCI-SYLLABUS-UNCONFIRMED,science_syllabus,Science,CBSE,2026-27,"CBSE Class X Science syllabus, session 2026-27 (publication unconfirmed)",https://cbseacademic.nic.in/web_material/CurriculumMain27/SecPart1/Science_SecP1_2026-27.pdf,200,application/pdf,279280,9,,2026-09-02T13:46:32.392Z,1bec4a9e44452b22c9d422d8cb528b4de30598f56c243461845165771df7bc37,true,true,UNCONFIRMED_PUBLICATION,
