question_id,subject,unit,expert_decision,corrected_question,corrected_answer,expert_comments,reviewer_name,qualification,review_date
C10-2627-MATH-REQ001-DIAG-001,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-DIAG-002,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-DIAG-003,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-DIAG-004,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-DIAG-005,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-DIAG-006,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-DIAG-007,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-REASS-001,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-REASS-002,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-REASS-003,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-REASS-004,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-REASS-005,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-REASS-006,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-REASS-007,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-REASS-008,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-REASS-009,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-REASS-010,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-DIAG-008,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-DIAG-009,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-DIAG-010,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-DIAG-011,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-DIAG-012,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-DIAG-013,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-DIAG-014,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-REASS-011,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-REASS-012,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-REASS-013,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-REASS-014,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-REASS-015,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-REASS-016,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-REASS-017,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-REASS-018,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-REASS-019,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ001-REASS-020,Mathematics,Number Systems,,,,,,,
C10-2627-MATH-REQ005-DIAG-001,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ005-DIAG-002,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ005-REASS-001,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ005-REASS-002,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ005-REASS-003,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ005-REASS-004,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ005-REASS-005,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ008-DIAG-001,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ008-DIAG-002,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ008-REASS-001,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ008-REASS-002,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ008-REASS-003,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ008-REASS-004,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ008-REASS-005,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ013-DIAG-001,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ013-DIAG-002,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ013-REASS-001,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ013-REASS-002,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ013-REASS-003,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ013-REASS-004,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ013-REASS-005,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ018-DIAG-001,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ018-DIAG-002,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ018-REASS-001,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ018-REASS-002,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ018-REASS-003,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ018-REASS-004,Mathematics,Algebra,,,,,,,
C10-2627-MATH-REQ018-REASS-005,Mathematics,Algebra,,,,,,,
