external_ref,subject,outcome_id,licence_classification,basis,rewritten,exact,normalized,shingle,semantic,marking_spec,verified,paid_selection_eligible,status_label
C10-2627-MATH-REQ001-DIAG-002,Mathematics,6810a065-c2af-4e4f-b115-9aca39a6c78e,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0662,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ001-DIAG-003,Mathematics,6810a065-c2af-4e4f-b115-9aca39a6c78e,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0801,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ001-DIAG-004,Mathematics,6810a065-c2af-4e4f-b115-9aca39a6c78e,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.0,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ001-DIAG-006,Mathematics,6810a065-c2af-4e4f-b115-9aca39a6c78e,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ001-DIAG-007,Mathematics,6810a065-c2af-4e4f-b115-9aca39a6c78e,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ001-DIAG-008,Mathematics,93635c82-1de9-4b6b-a824-3c1d0351c9d1,FACT_OR_FORMULA_ONLY,marking_spec_conclusion_reached,False,False,False,0.0,0.0,present,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ001-DIAG-013,Mathematics,93635c82-1de9-4b6b-a824-3c1d0351c9d1,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.0,present,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ001-DIAG-014,Mathematics,93635c82-1de9-4b6b-a824-3c1d0351c9d1,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0,present,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ001-REASS-001,Mathematics,6810a065-c2af-4e4f-b115-9aca39a6c78e,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ001-REASS-003,Mathematics,6810a065-c2af-4e4f-b115-9aca39a6c78e,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.1072,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ001-REASS-004,Mathematics,6810a065-c2af-4e4f-b115-9aca39a6c78e,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ001-REASS-006,Mathematics,6810a065-c2af-4e4f-b115-9aca39a6c78e,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.07,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ001-REASS-008,Mathematics,6810a065-c2af-4e4f-b115-9aca39a6c78e,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ001-REASS-009,Mathematics,6810a065-c2af-4e4f-b115-9aca39a6c78e,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0711,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ001-REASS-010,Mathematics,6810a065-c2af-4e4f-b115-9aca39a6c78e,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.1385,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ001-REASS-011,Mathematics,93635c82-1de9-4b6b-a824-3c1d0351c9d1,FACT_OR_FORMULA_ONLY,marking_spec_conclusion_reached,False,False,False,0.0,0.0,present,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ001-REASS-016,Mathematics,93635c82-1de9-4b6b-a824-3c1d0351c9d1,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.0499,present,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ001-REASS-017,Mathematics,93635c82-1de9-4b6b-a824-3c1d0351c9d1,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0,present,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ001-REASS-018,Mathematics,93635c82-1de9-4b6b-a824-3c1d0351c9d1,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0,present,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ001-REASS-020,Mathematics,93635c82-1de9-4b6b-a824-3c1d0351c9d1,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0,present,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ005-DIAG-001,Mathematics,c2e4cfc1-af4f-4f7b-81b3-1b21d3d02a11,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.044,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ005-REASS-001,Mathematics,c2e4cfc1-af4f-4f7b-81b3-1b21d3d02a11,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ005-REASS-003,Mathematics,c2e4cfc1-af4f-4f7b-81b3-1b21d3d02a11,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0615,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ005-REASS-005,Mathematics,c2e4cfc1-af4f-4f7b-81b3-1b21d3d02a11,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.026,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ008-DIAG-001,Mathematics,b42bea6d-0f2e-4f60-8394-d144f443ad22,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ008-REASS-001,Mathematics,b42bea6d-0f2e-4f60-8394-d144f443ad22,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ008-REASS-003,Mathematics,b42bea6d-0f2e-4f60-8394-d144f443ad22,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.0423,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ008-REASS-004,Mathematics,b42bea6d-0f2e-4f60-8394-d144f443ad22,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.0475,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ013-DIAG-001,Mathematics,e0bcebf5-b160-4676-b78e-e08f4df220b0,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ013-REASS-001,Mathematics,e0bcebf5-b160-4676-b78e-e08f4df220b0,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ013-REASS-003,Mathematics,e0bcebf5-b160-4676-b78e-e08f4df220b0,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.1301,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ013-REASS-004,Mathematics,e0bcebf5-b160-4676-b78e-e08f4df220b0,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0506,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ018-DIAG-001,Mathematics,8d050f31-cbce-4bea-a751-b889027a0254,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.1291,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ018-REASS-001,Mathematics,8d050f31-cbce-4bea-a751-b889027a0254,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ018-REASS-003,Mathematics,8d050f31-cbce-4bea-a751-b889027a0254,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.0,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ018-REASS-004,Mathematics,8d050f31-cbce-4bea-a751-b889027a0254,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0671,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ022-DIAG-001,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.2041,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ022-DIAG-002,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0937,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ022-DIAG-003,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0609,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ022-DIAG-005,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.2981,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ022-DIAG-006,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.1572,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ022-DIAG-008,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0962,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ022-DIAG-009,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,True,False,False,0.0,0.1007,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
